fen,score
6k1/8/6P1/5K2/8/8/8/8 w - - 13 64,0.0
rnbqkb1r/ppp1pppp/5n2/8/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 5,70.0
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,79.0
rn4k1/3p1pbp/p3p1p1/1P6/PqPNb3/4P2P/5PP1/3QKB1R w K - 2 17,-550.0
r2qkbnr/p2ppppp/2n5/2p5/1p2P3/1P1PBN2/P3BPPP/RN1Q1RK1 b kq - 0 10,-512.0
8/R5kp/8/2p5/2Pp1P2/3P2P1/Pr2r2P/R5K1 b - - 6 32,14.0
8/8/p7/8/2K5/r2p1k1R/8/8 b - - 8 52,0.0
r4b1r/3k1ppp/2n1p3/1p6/KP6/4P1P1/P1N5/R1B5 w - - 0 28,-625.0
rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,79.0
8/2R2kpp/1p1p4/pb3p2/4r3/2KB2r1/8/R7 b - - 13 42,879.0
6r1/1bkn4/2p5/1pPp1Bqp/pP1P1R2/P6Q/6PN/4R1K1 b - - 0 34,-430.0
rnb1k1nr/pppp1ppp/5q2/2b1N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 1 4,246.0
r4rk1/4bppp/1p2p3/1P1p4/PqnN1P2/4P3/6PP/2RQ1RK1 w - - 1 21,-545.0
rn1q1rk1/pp2bpp1/2p1p2p/3pB3/3Pn3/P3PN1P/1PP2PP1/RN1QK2R b KQ - 1 11,54.0
6r1/p6k/1pp1pbqp/3p1p1R/1P1P1P2/P1P1P1NQ/6PP/6K1 b - - 0 36,0.0
5r1r/2k1N3/1p3n2/3pn2p/1P2p3/P1P1P2P/1B4P1/RN3RK1 w - - 1 25,693.0
r1bq1rk1/ppp2ppp/8/3np1N1/2Q5/2P1B3/PPP2PPP/2KR3R b - - 3 11,-187.0
rnbk3r/pp2npbp/2p1p1p1/8/2P1P3/P4N1P/1PP2PP1/RNB2RK1 w - - 2 10,-333.0
r3kb1r/p3p1p1/2p2n2/3p1q2/3B1P2/2N2QPp/PPP4P/R4RK1 b kq - 1 15,-47.0
8/6k1/5p1p/3B4/1pp1P1P1/2b1K3/Pn1R1P2/8 b - - 0 44,-3.0
6k1/p1r2p2/1p2pQp1/2q1N1Pp/8/P7/1P3PP1/1K6 w - - 6 30,-445.0
r2qkb1r/1bpn1ppp/1p2p3/3nN3/3P4/2NB4/PP3PPP/R1BQR1K1 b kq - 0 12,40.0
r2r2k1/p1p2ppp/2Qbp3/4qb2/2B3n1/2N1P2P/PB1P1PP1/2KR3R b - - 2 14,461.0
rn2kbnr/pbpp2q1/1p2p3/5ppp/2PP4/2NBP3/PP1N1PPP/R1BQ1RK1 b kq - 1 10,6.0
8/8/4k3/5p2/2N2K1b/4P3/6R1/8 w - - 26 61,3397.0
r3k3/pp2n1rp/2p5/5b2/1P6/2q2P2/3RQ1PP/4KB1R w Kq - 1 21,-504.0
8/1p2p1k1/p3b1pp/4p3/2p2P2/2N3PP/Pn4BK/8 w - - 0 30,-393.0
r2qk2r/p1pbbppp/2pp1n2/8/3QP3/2N2N2/PPP2PPP/R1B2RK1 w kq - 2 9,87.0
r2qk2r/1ppbbppp/p1n1pn2/2Pp4/3P4/P2BPN1P/1P3PP1/RNBQK2R w KQkq - 1 9,115.0
2kr3r/pppq1p1p/2n2p2/5b2/1PN1p3/P3P1P1/2P1B1PP/R2Q1RK1 b - - 0 14,-40.0
r2qkb1r/3npppp/p4n2/1p6/2Bp2b1/3P1N2/PPP2PPP/RNBQR1K1 w kq - 0 12,0.0
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 2 2,-31.0
8/8/p4B1b/8/2p5/5k2/2K5/8 b - - 3 59,776.0
r3kb1r/1bqn1ppp/p2pp1n1/2p5/2B1P3/2NP1NB1/P1P2PPP/1R1QR1K1 b kq - 6 12,-19.0
r1b1k2r/ppp1ppbp/2n1qn2/3p2p1/6P1/PP2PP1P/1BPP2B1/RN1QK1NR w KQkq - 2 10,14.0
8/4ppkp/p5p1/1p6/3R4/1P3b2/P2KB1q1/8 w - - 0 34,-1272.0
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,44.0
2r2Bk1/1p3ppp/1n3n2/1q3N2/p1p5/6P1/1PQ2PBP/R4RK1 b - - 0 23,-558.0
r4rk1/p2p2p1/1pbqp2p/4np2/3N1R2/2PB3P/PP4P1/2QR2K1 w - - 0 22,-290.0
