fen,score
3R4/3k1p1p/6p1/8/8/1P6/2P2PPP/6K1 b - - 0 29,537.0
rnb1kbnr/p1pp1ppp/1p2p3/8/2PPP2q/4B3/PP3PPP/RN1QKBNR b KQkq - 2 4,-333.0
5r1k/6pp/2pP2n1/rqP1p3/4Pp2/B1Q5/6PP/1R3RK1 b - - 8 28,104.0
r1bq1rk1/ppp2ppp/4p3/n2n4/3P4/P1N1PN2/5PPP/R1BQKB1R w KQ - 0 10,426.0
2kr3r/pbpn3p/1p2p1pb/P7/8/2P2Nn1/1P3PPP/RN1B1RK1 w - - 0 15,-40.0
4k1r1/1p1B1p2/p7/8/1Q6/2N4P/PP3qP1/2R4K b - - 0 39,499.0
1r6/8/8/P7/K1P5/1P6/8/6k1 b - - 2 49,124.0
r1bq1rk1/2pp1ppp/p1n2n2/1pb1p3/2B1P3/P1NP1N2/1PP2PPP/R1BQ1RK1 w - - 0 8,14.0
5rk1/p1p3p1/7p/2q2p2/8/1pnB1Q1P/bP6/2KR1R2 w - - 0 29,-114.0
8/1k3p2/2R5/pP1Pp1pr/P3P1pN/3qR1P1/5PK1/8 b - - 1 38,0.0
4r3/pbk2p1p/p1qb4/B7/8/1P1Q1N2/P1P3PP/2KR3R b - - 6 21,631.0
8/6B1/6p1/1p2pk2/1P3b2/8/2p5/4K3 b - - 1 51,-660.0
5rk1/p4p1p/2p1p1p1/2P3B1/P2b4/P7/R3KPPP/1rN2R2 w - - 2 24,395.0
3Q1bk1/r4p2/p3bppp/1p6/7q/1PRP1B1P/P3NPP1/2R3K1 b - - 0 28,298.0
r4k1r/pp3pp1/7p/3PN3/1P6/P3b3/5PPP/4K2R w - - 0 23,-156.0
2kr2nr/pp3p1p/2p1p3/6p1/4P3/1QN2P2/PP1q2PP/5K1R b - - 4 22,-649.0
rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,100.0
rnb1k2r/p1p1bpp1/1p2pn2/q6p/3PP3/P1NB4/1P2NPPP/R1BQ1RK1 w kq - 0 10,525.0
8/3K4/3P4/8/7b/8/p1k5/7Q w - - 6 58,363.0
r1bqk2r/pp1pbppp/5n2/2p3B1/2Q1P3/8/PPP2PPP/RN2KB1R w KQkq - 4 8,78.0
rnbqkbnr/pppppp1p/6p1/8/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,26.0
r1b2rk1/pp1qbpp1/4pn1p/2pp4/4P3/1P1P2P1/P1PB1PBP/RN1QK2R w KQ - 1 10,-11.0
8/4N3/3K4/5P2/6PQ/7P/2Q5/6k1 b - - 0 89,1183.0
2rr2k1/1b5p/4pbpQ/qp6/4n3/Pn2P3/1B3PPP/1R3RK1 w - - 2 24,-401.0
5rr1/pp2k2p/n1pp4/4p3/4P1np/2NP1R2/PPP2PPP/5RK1 w - - 4 17,-340.0
